Time,Source IP,Destination IP,Protocol,Source Port,Destination Port,Packet Size
2026-07-05 15:04:35,192.168.0.121,142.250.202.142,UDP,50588,443,1286
2026-07-05 15:04:35,192.168.0.121,142.250.202.142,UDP,50588,443,502
2026-07-05 15:04:35,142.250.202.142,192.168.0.121,UDP,443,50588,680
2026-07-05 15:04:35,142.250.202.142,192.168.0.121,UDP,443,50588,244
2026-07-05 15:04:35,192.168.0.121,142.250.202.142,UDP,50588,443,77
2026-07-05 15:04:35,142.250.202.142,192.168.0.121,UDP,443,50588,73
2026-07-05 15:04:35,192.168.0.121,142.250.202.142,UDP,50588,443,1286
2026-07-05 15:04:35,192.168.0.121,142.250.202.142,UDP,50588,443,1287
2026-07-05 15:04:35,192.168.0.121,142.250.202.142,UDP,50588,443,1292
2026-07-05 15:04:35,192.168.0.121,142.250.202.142,UDP,50588,443,430
2026-07-05 15:04:35,142.250.202.142,192.168.0.121,UDP,443,50588,70
2026-07-05 15:04:35,192.168.0.121,150.129.7.108,UDP,56242,443,83
2026-07-05 15:04:35,192.168.0.121,150.129.7.108,UDP,56242,443,1288
2026-07-05 15:04:35,192.168.0.121,150.129.7.108,UDP,56242,443,1217
2026-07-05 15:04:35,142.250.202.142,192.168.0.121,UDP,443,50588,73
2026-07-05 15:04:35,142.250.202.142,192.168.0.121,UDP,443,50588,69
2026-07-05 15:04:35,150.129.7.108,192.168.0.121,UDP,443,56242,70
2026-07-05 15:04:35,150.129.7.108,192.168.0.121,UDP,443,56242,69
2026-07-05 15:04:35,150.129.7.108,192.168.0.121,UDP,443,56242,81
2026-07-05 15:04:35,192.168.0.121,150.129.7.108,UDP,56242,443,73
2026-07-05 15:04:35,150.129.7.108,192.168.0.121,UDP,443,56242,1288
2026-07-05 15:04:35,150.129.7.108,192.168.0.121,UDP,443,56242,1292
2026-07-05 15:04:35,150.129.7.108,192.168.0.121,UDP,443,56242,1292
2026-07-05 15:04:36,150.129.7.108,192.168.0.121,UDP,443,56242,1292
2026-07-05 15:04:36,192.168.0.121,150.129.7.108,UDP,56242,443,77
2026-07-05 15:04:36,150.129.7.108,192.168.0.121,UDP,443,56242,1292
2026-07-05 15:04:36,192.168.0.121,150.129.7.108,UDP,56242,443,73
2026-07-05 15:04:36,192.168.0.121,150.129.7.108,UDP,56242,443,73
